
Summary: 0 | Step: 0 | Reward: 0
Summary: 259 | Step: 7808 | Reward: 0.16
Summary: 260 | Step: 7840 | Reward: -2.04
Summary: 261 | Step: 7850 | Reward: -1.3599999999999999
Summary: 262 | Step: 7903 | Reward: -2.04
Summary: 263 | Step: 7936 | Reward: 0.09999999999999991
Summary: 264 | Step: 7992 | Reward: 0.42000000000000015
Summary: 265 | Step: 8024 | Reward: -1.9000000000000004
Summary: 266 | Step: 8064 | Reward: -0.10999999999999964
Summary: 267 | Step: 8083 | Reward: -1.7400000000000002
Summary: 268 | Step: 8099 | Reward: -1.73
Summary: 269 | Step: 8138 | Reward: -1.7600000000000002
Summary: 270 | Step: 8149 | Reward: -1.48
Summary: 271 | Step: 8159 | Reward: -1.43
Summary: 272 | Step: 8171 | Reward: -1.53
Summary: 273 | Step: 8192 | Reward: -0.9100000000000003
Summary: 274 | Step: 8278 | Reward: -2.990000000000001
Summary: 275 | Step: 8305 | Reward: -2.1400000000000006
Summary: 276 | Step: 8320 | Reward: -0.39999999999999997
Summary: 277 | Step: 8325 | Reward: -1.04
Summary: 278 | Step: 8448 | Reward: -1.8800000000000006
Summary: 279 | Step: 8475 | Reward: -1.79
Summary: 280 | Step: 8486 | Reward: -1.4100000000000001
Summary: 281 | Step: 8546 | Reward: -2.25
Summary: 282 | Step: 8558 | Reward: -1.46
Summary: 283 | Step: 8569 | Reward: -1.34
Summary: 284 | Step: 8576 | Reward: -0.21000000000000002
Summary: 285 | Step: 8581 | Reward: -1.11
Summary: 286 | Step: 8587 | Reward: -1.23
Summary: 287 | Step: 8599 | Reward: -1.18
Summary: 288 | Step: 8614 | Reward: -1.12
Summary: 289 | Step: 8623 | Reward: -1.38
Summary: 290 | Step: 8673 | Reward: -1.8200000000000003
Summary: 291 | Step: 8686 | Reward: -1.51
Summary: 292 | Step: 8704 | Reward: -0.060000000000000026
Summary: 293 | Step: 8757 | Reward: -1.8300000000000003
Summary: 294 | Step: 8778 | Reward: 1.12
Summary: 295 | Step: 8812 | Reward: -1.6500000000000001
Summary: 296 | Step: 8822 | Reward: -1.36
Summary: 297 | Step: 8832 | Reward: -0.35999999999999993
Summary: 298 | Step: 8879 | Reward: -2.0900000000000007
Summary: 299 | Step: 8913 | Reward: -1.5099999999999998
Summary: 300 | Step: 8960 | Reward: -1.4400000000000006
Summary: 301 | Step: 9088 | Reward: -1.8499999999999996
Summary: 302 | Step: 9126 | Reward: -2.1300000000000003
Summary: 303 | Step: 9134 | Reward: -1.26
Summary: 304 | Step: 9216 | Reward: -1.0900000000000003
Summary: 305 | Step: 9344 | Reward: -1.920000000000001
Summary: 306 | Step: 9472 | Reward: -2.619999999999998
Summary: 307 | Step: 9600 | Reward: -2.27
Summary: 0 | Step: 0 | Reward: 0
Summary: 1 | Step: 27 | Reward: -1.7200000000000002
Summary: 2 | Step: 67 | Reward: -1.74
Summary: 3 | Step: 128 | Reward: -1.02
Summary: 4 | Step: 152 | Reward: 1.18
Summary: 5 | Step: 232 | Reward: -2.2000000000000006
Summary: 6 | Step: 243 | Reward: -1.3399999999999999
